{ Units, Wavelength Units } SI Nanometers
{ Thickness } 3
{ Conductivity } 0.2
{ IR Transmittance } TIR=0
{ Emissivity, front back } Emis= 0.04 0.9
{ Manufacturer: Roehm }
{ Type: Coated }
{ Coated Side: Front }
{ Material: PMMA }

2251 0.002 0.915 0.067
2255 0.002 0.915 0.067
2260 0.002 0.915 0.067
2264 0.002 0.916 0.067
2269 0.002 0.916 0.067
2274 0.002 0.916 0.068
2278 0.002 0.916 0.068
2283 0.002 0.916 0.068
2287 0.002 0.917 0.068
2292 0.002 0.917 0.068
2297 0.002 0.917 0.068
2301 0.002 0.917 0.068
2306 0.002 0.917 0.068
2311 0.002 0.917 0.069
2315 0.002 0.918 0.069
2320 0.002 0.918 0.069
2324 0.002 0.918 0.069
2329 0.002 0.918 0.069
2334 0.002 0.918 0.069
2338 0.002 0.918 0.069
2343 0.002 0.919 0.069
2347 0.002 0.919 0.070
2352 0.002 0.919 0.070
2357 0.002 0.919 0.070
2361 0.002 0.919 0.070
2366 0.002 0.919 0.070
2370 0.002 0.920 0.070
2375 0.002 0.920 0.070
2380 0.002 0.920 0.071
2384 0.002 0.920 0.071
2389 0.002 0.920 0.071
2393 0.002 0.920 0.071
2398 0.002 0.920 0.071
2403 0.002 0.921 0.071
2407 0.002 0.921 0.071
2412 0.002 0.921 0.071
2417 0.002 0.921 0.072
2421 0.002 0.921 0.072
2426 0.002 0.921 0.072
2430 0.002 0.921 0.072
2435 0.002 0.922 0.072
2440 0.002 0.922 0.072
2444 0.002 0.922 0.072
2449 0.002 0.922 0.073
2453 0.002 0.922 0.073
2458 0.002 0.922 0.073
2463 0.002 0.922 0.073
2467 0.002 0.922 0.073
2472 0.002 0.923 0.073
2476 0.002 0.923 0.073
2481 0.002 0.923 0.074
2486 0.002 0.923 0.074
2490 0.002 0.923 0.074
2495 0.002 0.923 0.074
2499 0.002 0.923 0.074
